Date,ID,Did you train today?,Session Type,Duration (min),RPE,Training Load (AU),Daily Training Load Total,Acute Load,Chronic Load,A:C Ratio
7/14/2018,NA,Yes,Mobility/Recovery,30,2,60,60,247,404.25,0.61
7/14/2018,NA,No,,,,,,51.4,215.89,0.24
7/13/2018,NA,No,,,,,,51.4,215.89,0.24
7/13/2018,NA,No,,,,,,238.4,402.11,0.59
7/13/2018,HO,No,,,,,,306.3,346.39,0.88
7/13/2018,TN,No,,,,,,256.9,397.43,0.65
7/13/2018,LH,No,,,,,,231.9,450.82,0.51
7/13/2018,NR,No,,,,,,293.6,452.14,0.65
7/13/2018,TM,No,,,,,,111.4,121.96,0.91
7/13/2018,RE,No,,,,,,175.7,436.07,0.4
7/12/2018,HO,Yes,Speed,40,5,200,910,306.3,346.39,0.88
7/12/2018,HO,Yes,Strength,40,5,200,,,,
7/12/2018,HO,Yes,Skills,60,5,300,,,,
7/12/2018,HO,Yes,Conditioning,30,7,210,,,,
7/12/2018,HO,Yes,Mobility/Recovery,60,0,0,,,,
7/12/2018,NA,Yes,Speed,30,4,120,690,238.4,402.11,0.59
7/12/2018,NA,Yes,Strength,45,4,180,,,,
7/12/2018,NA,Yes,Skills,60,3,180,,,,
7/12/2018,NA,Yes,Mobility/Recovery,70,3,210,,,,
7/12/2018,NE,Yes,Speed,30,3,90,450,88.3,333.04,0.27
7/12/2018,NE,Yes,Skills,60,4,240,,,,
7/12/2018,NE,Yes,Strength,30,4,120,,,,
7/12/2018,IP,Yes,Speed,30,3,90,510,170.9,379.68,0.45
7/12/2018,IP,Yes,Strength,45,4,180,,,,
7/12/2018,IP,Yes,Skills,60,4,240,,,,
7/12/2018,LH,Yes,Speed,45,4,180,660,231.9,450.82,0.51
7/12/2018,LH,Yes,Strength,45,4,180,,,,
7/12/2018,LH,Yes,Skills,75,4,300,,,,
7/12/2018,TN,Yes,Speed,30,4,120,600,256.9,397.43,0.65
7/12/2018,TN,Yes,Strength,45,4,180,,,,
7/12/2018,TN,Yes,Conditioning,75,4,300,,,,
7/12/2018,RE,Yes,Speed,30,3,90,555,255,455.89,0.56
7/12/2018,RE,Yes,Strength,45,5,225,,,,
7/12/2018,RE,Yes,Skills,60,4,240,,,,
7/12/2018,NR,Yes,Speed,45,5,225,750,293.6,452.14,0.65
7/12/2018,NR,Yes,Strength,45,5,225,,,,
7/12/2018,NR,Yes,Skills,75,4,300,,,,
7/11/2018,ID,No,,,,,,223.6,278.75,0.8
7/11/2018,RE,No,,,,,,340.7,470.71,0.72
7/11/2018,NA,No,,,,,,227.7,412.29,0.55
7/11/2018,NR,No,,,,,,287.1,455.89,0.63
7/11/2018,LH,No,,,,,,224.7,470.46,0.48
7/11/2018,HO,Yes,Mobility/Recovery,60,0,0,0,176.3,347.11,0.51
7/11/2018,TN,No,,,,,,280.4,418.86,0.67
7/11/2018,TS,No,,,,,,68.6,174.11,0.39
7/10/2018,IP,Yes,Skills,30,3,90,146,166.6,408.07,0.41
7/10/2018,IP,Yes,Game,14,4,56,,,,
7/10/2018,NR,Yes,Skills,60,5,300,420,362.1,470.89,0.77
7/10/2018,NR,Yes,Mobility/Recovery,60,2,120,,,,
7/10/2018,NE,Yes,Skills,30,4,120,168,174.7,375.89,0.46
7/10/2018,NE,Yes,Game,12,4,48,,,,
7/10/2018,HO,Yes,Skills,40,5,200,254,176.3,375.68,0.47
7/10/2018,HO,Yes,Conditioning,9,6,54,,,,
7/10/2018,NA,Yes,Skills,90,4,360,360,85,228.75,0.37
7/10/2018,TM,Yes,Game,10,6,60,60,111.4,146.07,0.76
7/10/2018,MW,Yes,Game,14,7,98,278,263.3,408.46,0.64
7/10/2018,MW,Yes,Skills,45,4,180,,,,
7/10/2018,NA,Yes,Skills,45,3,135,199,317.7,435.86,0.73
7/10/2018,NA,Yes,Game,16,4,64,,,,
7/10/2018,TN,Yes,Skills,40,4,160,208,400.4,447.79,0.89
7/10/2018,TN,Yes,Game,12,4,48,,,,
7/10/2018,LH,Yes,Skills,45,3,135,183,291.1,496.71,0.59
7/10/2018,LH,Yes,Game,12,4,48,,,,
7/10/2018,RE,Yes,Skills,60,6,360,375,430.7,491.43,0.88
7/10/2018,RE,Yes,Mobility/Recovery,30,0.5,15,,,,
7/10/2018,ID,Yes,Skills,60,3,180,230,300.7,302.32,0.99
7/10/2018,ID,Yes,Game,10,5,50,,,,
7/10/2018,TS,Yes,Game,12,6,72,72,147.4,191.68,0.77
7/9/2018,HO,Yes,Speed,40,3,120,720,140,366.61,0.38
7/9/2018,HO,Yes,Skills,90,5,450,,,,
7/9/2018,HO,Yes,Strength,30,5,150,,,,
7/9/2018,HO,Yes,Mobility/Recovery,20,0,0,,,,
7/9/2018,NA,Yes,Speed,30,3,90,780,303.6,428.75,0.71
7/9/2018,NA,Yes,Skills,90,4,360,,,,
7/9/2018,NA,Yes,Strength,60,4,240,,,,
7/9/2018,NA,Yes,Mobility/Recovery,45,2,90,,,,
7/9/2018,NL,Yes,Speed,35,4,140,710,101.4,281.29,0.36
7/9/2018,NL,Yes,Skills,90,3,270,,,,
7/9/2018,NL,Yes,Strength,60,5,300,,,,
7/9/2018,IP,Yes,Speed,30,3,90,540,145.7,402.86,0.36
7/9/2018,IP,Yes,Skills,90,3,270,,,,
7/9/2018,IP,Yes,Strength,45,4,180,,,,
7/9/2018,TN,Yes,Speed,45,4,180,990,370.7,440.36,0.84
7/9/2018,TN,Yes,Skills,90,4,360,,,,
7/9/2018,TN,Yes,Strength,90,5,450,,,,
7/9/2018,TM,Yes,Speed,60,3,180,720,102.9,143.93,0.71
7/9/2018,TM,Yes,Skills,60,3,180,,,,
7/9/2018,TM,Yes,Strength,90,4,360,,,,
7/9/2018,ID,Yes,Speed,45,3,135,645,267.9,294.11,0.91
7/9/2018,ID,Yes,Skills,90,3,270,,,,
7/9/2018,ID,Yes,Strength,60,4,240,,,,
7/9/2018,RE,Yes,Speed,40,3,120,855,377.1,478.04,0.79
7/9/2018,RE,Yes,Skills,90,4,360,,,,
7/9/2018,RE,Yes,Strength,90,4,360,,,,
7/9/2018,RE,Yes,Mobility/Recovery,30,0.5,15,,,,
7/9/2018,LH,Yes,Speed,45,4,180,780,265,490.18,0.54
7/9/2018,LH,Yes,Skills,90,4,360,,,,
7/9/2018,LH,Yes,Strength,60,4,240,,,,
7/9/2018,MW,Yes,Speed,45,3,135,845,223.6,452.11,0.49
7/9/2018,MW,Yes,Skills,90,4,360,,,,
7/9/2018,MW,Yes,Strength,70,5,350,,,,
7/9/2018,TS,Yes,Speed,30,3,90,480,137.1,189.11,0.72
7/9/2018,TS,Yes,Skills,90,3,270,,,,
7/9/2018,TS,Yes,Strength,40,3,120,,,,
7/9/2018,NR,Yes,Speed,45,5,225,885,302.1,455.89,0.66
7/9/2018,NR,Yes,Skills,75,4,300,,,,
7/9/2018,NR,Yes,Strength,60,6,360,,,,
7/8/2018,ID,No,,,,,,238.6,271.07,0.88
7/8/2018,RE,No,,,,,,338.6,447.5,0.76
7/8/2018,NA,No,,,,,,286.4,400.89,0.71
7/8/2018,HO,Yes,Strength,60,3,180,260,108.6,340.89,0.32
7/8/2018,HO,Yes,Speed,20,4,80,,,,
7/8/2018,NA,No,,,,,,97.9,215.89,0.45
7/8/2018,TM,No,,,,,,,118.21,
7/8/2018,LH,No,,,,,,237.1,462.32,0.51
7/8/2018,NR,No,,,,,,282.9,424.29,0.67
7/8/2018,TN,No,,,,,,280.7,405,0.69
7/7/2018,NA,No,,,,,,150.7,215.89,0.7
7/7/2018,HO,No,,,,,,194.3,331.61,0.59
7/7/2018,NA,No,,,,,,377.9,406.46,0.93
7/7/2018,TN,No,,,,,,443.6,405,1.1
7/7/2018,LH,No,,,,,,342.1,462.32,0.74
7/7/2018,NR,No,,,,,,390,431.14,0.9
7/7/2018,RE,No,,,,,,471.4,447.5,1.05
7/7/2018,MW,No,,,,,,340,478.18,0.71
7/6/2018,HO,No,,,,,,194.3,340.29,0.57
7/6/2018,NA,Yes,Speed,40,4,160,615,377.9,406.46,0.93
7/6/2018,NA,Yes,Conditioning,60,6,360,,,,
7/6/2018,NA,Yes,Skills,25,3,75,,,,
7/6/2018,NA,Yes,Mobility/Recovery,10,2,20,,,,
7/6/2018,LH,Yes,Speed,45,3,135,610,342.1,466.25,0.73
7/6/2018,LH,Yes,Skills,40,4,160,,,,
7/6/2018,LH,Yes,Conditioning,45,7,315,,,,
7/6/2018,NE,Yes,Speed,30,4,120,480,360.7,407.11,0.89
7/6/2018,NE,Yes,Skills,60,6,360,,,,
7/6/2018,ID,Yes,Speed,45,2,90,690,341.4,291.43,1.17
7/6/2018,ID,Yes,Skills,30,2,60,,,,
7/6/2018,ID,Yes,Conditioning,45,9,405,,,,
7/6/2018,ID,Yes,Strength,45,3,135,,,,
7/6/2018,RE,Yes,Speed,45,3,135,1155,471.4,451.43,1.04
7/6/2018,RE,Yes,Skills,90,8,720,,,,
7/6/2018,RE,Yes,Strength,60,5,300,,,,
7/6/2018,TN,Yes,Speed,45,4,180,765,443.6,417.5,1.06
7/6/2018,TN,Yes,Conditioning,60,6,360,,,,
7/6/2018,TN,Yes,Strength,45,5,225,,,,
7/6/2018,IP,Yes,Speed,30,4,120,480,231.4,387.14,0.6
7/6/2018,IP,Yes,Skills,60,6,360,,,,
7/6/2018,NR,Yes,Speed,45,4,180,705,415.7,431.14,0.96
7/6/2018,NR,Yes,Skills,75,7,525,,,,
7/5/2018,MW,Yes,Mobility/Recovery,30,1,30,720,340,478.18,0.71
7/5/2018,MW,Yes,Skills,90,5,450,,,,
7/5/2018,MW,Yes,Strength,60,4,240,,,,
7/5/2018,RE,Yes,Skills,90,4,360,630,306.4,418.68,0.73
7/5/2018,RE,Yes,Mobility/Recovery,60,0.5,30,,,,
7/5/2018,RE,Yes,Strength,60,4,240,,,,
7/5/2018,HO,No,,,,,,194.3,357.29,0.54
7/5/2018,NA,Yes,Skills,60,3,180,630,290,384.5,0.75
7/5/2018,NA,Yes,Mobility/Recovery,90,3,270,,,,
7/5/2018,NA,Yes,Strength,45,4,180,,,,
7/5/2018,ID,Yes,Mobility/Recovery,30,2,60,540,242.9,266.79,0.91
7/5/2018,ID,Yes,Skills,75,4,300,,,,
7/5/2018,ID,Yes,Strength,60,3,180,,,,
7/5/2018,NA,Yes,Mobility/Recovery,30,0.5,15,235,150.7,221.54,0.68
7/5/2018,NA,Yes,Skills,90,2,180,,,,
7/5/2018,NA,Yes,Strength,40,1,40,,,,
7/5/2018,LH,Yes,Mobility/Recovery,30,2,60,465,255,455.54,0.56
7/5/2018,LH,Yes,Skills,90,3,270,,,,
7/5/2018,LH,Yes,Strength,45,3,135,,,,
7/5/2018,NE,Yes,Mobility/Recovery,30,0.5,15,575,292.1,389.96,0.75
7/5/2018,NE,Yes,Skills,90,4,360,,,,
7/5/2018,NE,Yes,Strength,50,4,200,,,,
7/5/2018,TN,Yes,Mobility/Recovery,30,1,30,840,334.3,415.18,0.81
7/5/2018,TN,Yes,Skills,90,4,360,,,,
7/5/2018,TN,Yes,Strength,90,5,450,,,,
7/5/2018,TS,Yes,Mobility/Recovery,30,2,60,480,120,177.82,0.67
7/5/2018,TS,Yes,Skills,90,3,270,,,,
7/5/2018,TS,Yes,Strength,50,3,150,,,,
7/5/2018,NR,Yes,Skills,75,4,300,525,315,419.86,0.75
7/5/2018,NR,Yes,Strength,45,5,225,,,,
7/4/2018,HO,Yes,Mobility/Recovery,60,0,0,0,194.3,380.68,0.51
7/4/2018,TM,No,,,,,,111.4,128.54,0.87
7/4/2018,RE,No,,,,,,353.6,410.11,0.86
7/4/2018,NA,Yes,Mobility/Recovery,50,2,100,100,282.9,380.93,0.74
7/4/2018,ID,No,,,,,,240.7,247.5,0.97
7/4/2018,NR,No,,,,,,360,418.43,0.86
7/4/2018,TN,No,,,,,,396.4,415.82,0.95
7/4/2018,LH,No,,,,,,302.9,472.29,0.64
7/4/2018,NA,No,,,,,,172.9,229,0.76
7/4/2018,TS,No,,,,,,51.4,160.68,0.32
7/3/2018,NE,Yes,Skills,90,8,720,720,428.9,395.14,1.09
7/3/2018,MW,Yes,Skills,90,8,720,720,508.6,452.46,1.12
7/3/2018,NA,Yes,Conditioning,60,9,540,660,372.9,377.36,0.99
7/3/2018,NA,Yes,Skills,30,3,90,,,,
7/3/2018,NA,Yes,Mobility/Recovery,15,2,30,,,,
7/3/2018,HO,Yes,Skills,40,5,200,500,301.4,391.39,0.77
7/3/2018,HO,Yes,Conditioning,30,10,300,,,,
7/3/2018,HO,Yes,Mobility/Recovery,20,0,0,,,,
7/3/2018,ID,Yes,Skills,20,4,80,440,313.6,273.21,1.15
7/3/2018,ID,Yes,Conditioning,45,8,360,,,,
7/3/2018,NR,Yes,Skills,75,10,750,750,435,424.86,1.02
7/3/2018,TN,Yes,Conditioning,60,6,360,360,525,426.54,1.23
7/3/2018,RE,Yes,Strength,45,2,90,585,414.3,419.21,0.99
7/3/2018,RE,Yes,Skills,60,8,480,,,,
7/3/2018,RE,Yes,Mobility/Recovery,30,0.5,15,,,,
7/3/2018,LH,Yes,Skills,40,3,120,585,377.9,485.68,0.78
7/3/2018,LH,Yes,Conditioning,15,10,150,,,,
7/3/2018,LH,Yes,Conditioning,45,7,315,,,,
7/3/2018,NA,Yes,Skills,90,5,450,450,217.9,233.29,0.93
7/3/2018,IP,Yes,Conditioning,60,9,540,540,492.9,389.54,1.27
7/3/2018,TS,Yes,Skills,20,3,60,360,51.4,160.68,0.32
7/3/2018,TS,Yes,Conditioning,20,8,160,,,,
7/3/2018,TS,Yes,Skills,20,7,140,,,,
7/2/2018,MW,Yes,Speed,45,4,180,940,405.7,426.75,0.95
7/2/2018,MW,Yes,Skills,90,4,360,,,,
7/2/2018,MW,Yes,Strength,80,5,400,,,,
7/2/2018,NA,Yes,Speed,30,4,120,640,278.6,353.79,0.79
7/2/2018,NA,Yes,Skills,60,4,240,,,,
7/2/2018,NA,Yes,Strength,60,4,240,,,,
7/2/2018,NA,Yes,Mobility/Recovery,20,2,40,,,,
7/2/2018,NE,Yes,Speed,45,4,180,750,326,369.43,0.88
7/2/2018,NE,Yes,Skills,90,3,270,,,,
7/2/2018,NE,Yes,Strength,75,4,300,,,,
7/2/2018,NA,Yes,Speed,35,2,70,370,153.6,217.21,0.71
7/2/2018,NA,Yes,Skills,90,2,180,,,,
7/2/2018,NA,Yes,Strength,60,2,120,,,,
7/2/2018,ID,Yes,Speed,45,3,135,720,250.7,257.5,0.97
7/2/2018,ID,Yes,Skills,75,3,225,,,,
7/2/2018,ID,Yes,Strength,90,4,360,,,,
7/2/2018,LH,Yes,Speed,45,3,135,735,294.3,464.79,0.63
7/2/2018,LH,Yes,Skills,75,3,225,,,,
7/2/2018,LH,Yes,Strength,75,5,375,,,,
7/2/2018,TN,Yes,Speed,60,5,300,1140,473.6,413.68,1.14
7/2/2018,TN,Yes,Skills,75,4,300,,,,
7/2/2018,TN,Yes,Strength,90,6,540,,,,
7/2/2018,NL,Yes,Skills,40,3,120,551,469.4,363.04,1.29
7/2/2018,NL,Yes,Conditioning,23,7,161,,,,
7/2/2018,NL,Yes,Game,30,9,270,,,,
7/2/2018,RE,Yes,Speed,40,3,120,930,339.3,398.32,0.85
7/2/2018,RE,Yes,Skills,60,3,180,,,,
7/2/2018,RE,Yes,Strength,90,7,630,,,,
7/2/2018,HO,Yes,Speed,40,5,200,860,230,373.54,0.62
7/2/2018,HO,Yes,Skills,90,4,360,,,,
7/2/2018,HO,Yes,Strength,60,5,300,,,,
7/2/2018,HO,Yes,Mobility/Recovery,10,0,0,,,,
7/2/2018,NR,Yes,Speed,45,5,225,750,327.9,398.07,0.82
7/2/2018,NR,Yes,Skills,75,3,225,,,,
7/2/2018,NR,Yes,Strength,60,5,300,,,,
7/2/2018,IP,Yes,Speed,30,4,120,600,415.7,370.25,1.12
7/2/2018,IP,Yes,Skills,60,4,240,,,,
7/2/2018,IP,Yes,Strength,60,4,240,,,,
7/1/2018,RE,No,,,,,,215,345.29,0.62
7/1/2018,HO,No,,,,,,242.9,362.11,0.67
7/1/2018,TN,No,,,,,,362.1,393.32,0.92
7/1/2018,NL,Yes,Skills,90,6,540,540,390.7,371.21,1.05
7/1/2018,LH,No,,,,,,367.9,455.14,0.81
7/1/2018,NR,Yes,Mobility/Recovery,60,3,180,180,409.3,407.71,1
7/1/2018,NA,No,,,,,,190.7,216.86,0.88
6/30/2018,RE,No,,,,,,427.9,346.89,1.23
6/30/2018,HO,No,,,,,,389.3,362.82,1.07
6/30/2018,NR,No,,,,,,518.6,403.43,1.29
6/30/2018,NA,No,,,,,,272.1,217.39,1.25
6/30/2018,AN,Yes,Skills,60,1,60,105,15,329.32,0.05
6/30/2018,AN,Yes,Mobility/Recovery,45,1,45,,,,
6/30/2018,NL,Yes,Skills,90,4,360,870,460.7,381.93,1.21
6/30/2018,NL,Yes,Conditioning,30,8,240,,,,
6/30/2018,NL,Yes,Conditioning,30,9,270,,,,
6/30/2018,ID,No,,,,,,411.4,286.43,1.44
6/30/2018,LH,No,,,,,,546.4,456.21,1.2
6/30/2018,NA,No,,,,,,386.4,354.32,1.09
6/30/2018,IP,Yes,Speed,45,4,180,930,132.9,33.21,4
6/30/2018,IP,Yes,Skills,90,5,450,,,,
6/30/2018,IP,Yes,Strength,60,5,300,,,,
6/30/2018,TN,No,,,,,,533.6,393.32,1.36
6/29/2018,RE,Yes,Speed,45,4,180,960,565,381.18,1.48
6/29/2018,RE,Yes,Skills,90,7,630,,,,
6/29/2018,RE,Yes,Strength,50,3,150,,,,
6/29/2018,MW,Yes,Speed,40,4,160,1240,598.6,444.96,1.35
6/29/2018,MW,Yes,Skills,90,8,720,,,,
6/29/2018,MW,Yes,Strength,60,6,360,,,,
6/29/2018,TM,Yes,Speed,60,4,240,780,248.6,128.54,1.93
6/29/2018,TM,Yes,Conditioning,60,6,360,,,,
6/29/2018,TM,Yes,Strength,60,3,180,,,,
6/29/2018,NA,Yes,Skills,30,4,120,580,386.4,354.32,1.09
6/29/2018,NA,Yes,Conditioning,40,7,280,,,,
6/29/2018,NA,Yes,Speed,30,4,120,,,,
6/29/2018,NA,Yes,Mobility/Recovery,30,2,60,,,,
6/29/2018,ID,Yes,Speed,45,3,135,525,411.4,286.43,1.44
6/29/2018,ID,Yes,Skills,30,3,90,,,,
6/29/2018,ID,Yes,Conditioning,30,6,180,,,,
6/29/2018,ID,Yes,Strength,30,4,120,,,,
6/29/2018,LH,Yes,Speed,60,5,300,800,546.4,456.21,1.2
6/29/2018,LH,Yes,Skills,45,4,180,,,,
6/29/2018,LH,Yes,Conditioning,40,8,320,,,,
6/29/2018,TN,Yes,Speed,75,5,375,1275,533.6,393.32,1.36
6/29/2018,TN,Yes,Conditioning,60,6,360,,,,
6/29/2018,TN,Yes,Strength,90,6,540,,,,
6/29/2018,IP,Yes,Speed,45,3,135,555,471.4,328.11,1.44
6/29/2018,IP,Yes,Skills,60,4,240,,,,
6/29/2018,IP,Yes,Strength,45,4,180,,,,
6/29/2018,NL,Yes,Speed,60,4,240,670,336.4,350.86,0.96
6/29/2018,NL,Yes,Skills,30,3,90,,,,
6/29/2018,NL,Yes,Conditioning,40,6,240,,,,
6/29/2018,NL,Yes,Strength,25,4,100,,,,
6/29/2018,NA,Yes,Speed,60,3,180,390,272.1,217.39,1.25
6/29/2018,NA,Yes,Skills,70,3,210,,,,
6/29/2018,NR,Yes,Speed,45,4,180,840,518.6,403.43,1.29
6/29/2018,NR,Yes,Skills,60,6,360,,,,
6/29/2018,NR,Yes,Strength,60,5,300,,,,
6/29/2018,NE,Yes,Speed,50,5,250,790,463.9,357.64,1.3
6/29/2018,NE,Yes,Skills,60,4,240,,,,
6/29/2018,NE,Yes,Strength,60,5,300,,,,
6/28/2018,HO,Yes,Mobility/Recovery,30,0,0,750,389.3,362.82,1.07
6/28/2018,HO,Yes,Skills,90,5,450,,,,
6/28/2018,HO,Yes,Strength,60,5,300,,,,
6/28/2018,NA,Yes,Skills,90,4,360,730,303.6,333.61,0.91
6/28/2018,NA,Yes,Strength,50,5,250,,,,
6/28/2018,NA,Yes,Mobility/Recovery,60,2,120,,,,
6/28/2018,ID,Yes,Mobility/Recovery,30,1,30,510,336.4,267.68,1.26
6/28/2018,ID,Yes,Skills,90,4,360,,,,
6/28/2018,ID,Yes,Strength,40,3,120,,,,
6/28/2018,RE,Yes,Mobility/Recovery,50,1,50,425,427.9,346.89,1.23
6/28/2018,RE,Yes,Skills,80,3,240,,,,
6/28/2018,RE,Yes,Strength,45,3,135,,,,
6/28/2018,NE,Yes,Mobility/Recovery,45,0.5,22,742,351,329.43,1.07
6/28/2018,NE,Yes,Skills,90,3,270,,,,
6/28/2018,NE,Yes,Strength,90,5,450,,,,
6/28/2018,NA,Yes,Mobility/Recovery,30,0.5,15,315,216.4,203.46,1.06
6/28/2018,NA,Yes,Skills,90,2,180,,,,
6/28/2018,NA,Yes,Strength,60,2,120,,,,
6/28/2018,TN,Yes,Skills,90,5,450,900,351.4,347.79,1.01
6/28/2018,TN,Yes,Strength,90,5,450,,,,
6/28/2018,IP,Yes,Mobility/Recovery,30,0.5,15,825,392.1,308.29,1.27
6/28/2018,IP,Yes,Skills,90,4,360,,,,
6/28/2018,IP,Yes,Strength,90,5,450,,,,
6/28/2018,MW,Yes,Mobility/Recovery,30,2,60,660,421.4,400.68,1.05
6/28/2018,MW,Yes,Skills,90,4,360,,,,
6/28/2018,MW,Yes,Strength,60,4,240,,,,
6/28/2018,LH,Yes,Mobility/Recovery,30,2,60,525,432.1,427.64,1.01
6/28/2018,LH,Yes,Skills,75,3,225,,,,
6/28/2018,LH,Yes,Strength,60,4,240,,,,
6/28/2018,NL,Yes,Mobility/Recovery,30,0.5,15,655,240.7,326.93,0.74
6/28/2018,NL,Yes,Skills,110,4,440,,,,
6/28/2018,NL,Yes,Strength,50,4,200,,,,
6/28/2018,NR,Yes,Skills,75,3,225,525,398.6,373.43,1.07
6/28/2018,NR,Yes,Strength,60,5,300,,,,
6/27/2018,ID,No,,,,,,392.1,281.61,1.39
6/27/2018,NA,No,,,,,,272.9,208.46,1.31
6/27/2018,HO,Yes,Mobility/Recovery,30,0,0,0,376.4,351.04,1.07
6/27/2018,NA,No,,,,,,380,333.25,1.14
6/27/2018,TM,No,,,,,,137.1,100.68,1.36
6/27/2018,MW,No,,,,,,509.3,377.11,1.35
6/27/2018,TN,No,,,,,,372.9,329.57,1.13
6/27/2018,LH,No,,,,,,526.4,427.46,1.23
6/27/2018,RE,Yes,Mobility/Recovery,60,1,60,60,520,345.36,1.51
